ACCELEROMETRO X (m/s²),ACCELEROMETRO Y (m/s²),ACCELEROMETRO Z (m/s²),GRAVITÀ X (m/s²),GRAVITÀ Y (m/s²),GRAVITÀ Z (m/s²),CAMPO MAGNETICO X (μT),CAMPO MAGNETICO Y (μT),CAMPO MAGNETICO Z (μT),ORIENTAMENTO Z (azimuth °),ORIENTAMENTO X (pitch °),ORIENTAMENTO Y (roll °),LIVELLO SONORO (dB),POSIZIONE Latitudine : ,POSIZIONE Longitudine : ,POSIZIONE Altitudine ( m),POSIZIONE Altitudine-google ( m),POSIZIONE Velocità ( Km/h),POSIZIONE Precisione ( m),POSIZIONE ORIENTAMENTO (°),Satelliti rilevati,Tempo da inizio in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.13695,9.94168,-1.66294,-0.16344,9.71131,-1.37565,65.28,-37.56,-22.44,106.118,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,14,2017-04-03 19:10:08:655
-0.17526,9.71184,-0.01868,-0.16344,9.71131,-1.37565,65.28,-37.56,-22.44,106.118,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,24,2017-04-03 19:10:08:665
-0.16568,10.00872,0.02803,-0.16344,9.71131,-1.37565,65.4,-37.8,-22.56,106.118,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,34,2017-04-03 19:10:08:675
-0.16568,10.00872,0.02803,-0.16344,9.71131,-1.37565,65.4,-37.8,-22.56,106.118,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,44,2017-04-03 19:10:08:685
-0.01245,9.57776,-2.12071,-0.16344,9.71131,-1.37565,65.34,-38.16,-22.56,106.861,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,54,2017-04-03 19:10:08:695
-0.01245,9.57776,-2.12071,-0.16344,9.71131,-1.37565,65.16,-38.22,-22.44,106.861,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,64,2017-04-03 19:10:08:705
-0.12737,9.58734,-0.76607,-0.16344,9.71131,-1.37565,65.16,-38.22,-22.44,106.861,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,74,2017-04-03 19:10:08:715
-0.12737,9.58734,-0.76607,-0.16344,9.71131,-1.38928,65.28,-38.4,-22.8,106.861,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,84,2017-04-03 19:10:08:725
-0.25187,9.75972,-0.20553,-0.16344,9.71131,-1.38928,65.28,-38.4,-22.8,106.861,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,94,2017-04-03 19:10:08:735
-0.17526,9.36708,-2.16742,-0.16344,9.71131,-1.37565,65.4,-38.7,-22.8,107.074,-81.803,173.29,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,104,2017-04-03 19:10:08:745
-0.14653,9.43411,-1.63491,-0.16344,9.71131,-1.37565,65.4,-38.7,-22.8,107.074,-81.803,173.29,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,114,2017-04-03 19:10:08:755
-0.14653,9.43411,-1.63491,-0.16344,9.71131,-1.37565,65.58,-38.64,-22.92,107.074,-81.803,173.29,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,124,2017-04-03 19:10:08:765
-0.14653,9.43411,-1.63491,-0.16344,9.71131,-1.37565,65.4,-38.64,-22.8,107.074,-81.803,173.29,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,134,2017-04-03 19:10:08:775
-0.04118,9.5203,-0.82213,-0.16344,9.71131,-1.37565,65.4,-38.64,-22.8,107.074,-81.803,173.29,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,144,2017-04-03 19:10:08:785
-0.1561,9.52988,-1.11174,-0.14982,9.72493,-1.32117,65.52,-38.76,-23.1,106.648,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,155,2017-04-03 19:10:08:796
-0.1561,9.52988,-1.11174,-0.14982,9.72493,-1.32117,65.52,-38.76,-23.1,106.648,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,164,2017-04-03 19:10:08:805
-0.17526,9.36708,-1.79373,-0.14982,9.72493,-1.28031,65.52,-38.94,-23.1,106.648,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,175,2017-04-03 19:10:08:816
-0.17526,9.36708,-1.79373,-0.14982,9.73855,-1.25307,65.52,-38.94,-22.92,106.648,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,184,2017-04-03 19:10:08:825
-0.26145,9.06062,-1.56951,-0.14982,9.73855,-1.25307,65.52,-38.94,-22.92,106.648,-81.881,173.224,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,194,2017-04-03 19:10:08:835
-0.26145,9.06062,-1.56951,-0.14982,9.73855,-1.18497,65.52,-39.0,-22.8,106.244,-82.616,173.182,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,204,2017-04-03 19:10:08:845
-0.12737,9.51073,-1.67228,-0.14982,9.73855,-1.18497,65.52,-39.0,-22.8,106.244,-82.616,173.182,44.5406,39.3622,16.227957,774.194,688.2402726996686,3.636,32.258064,202.7,7 / 18,214,2017-04-03 19:10:08:855
-0.17526,9.7693,-0.83147,-0.14982,9.73855,-1.15773,65.52,-38.76,-23.1,106.244,-82.616,173.182,44.5406,39.362206,16.227985,770.968,688.2402726996686,0.0,32.258064,,7 / 20,224,2017-04-03 19:10:08:865
-0.17526,9.7693,-0.83147,-0.14982,9.73855,-1.15773,65.52,-38.76,-23.1,106.244,-82.616,173.182,44.5406,39.362206,16.227985,770.968,688.2402726996686,0.0,32.258064,,7 / 20,235,2017-04-03 19:10:08:876
-0.17526,9.15639,-1.16779,-0.14982,9.75217,-1.10325,65.76,-38.58,-22.38,104.686,-83.164,172.626,44.5406,39.362206,16.227985,770.968,688.2402726996686,0.0,32.258064,,7 / 20,244,2017-04-03 19:10:08:885
