ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.29,-0.028,9.725,-0.354,-0.027,9.807,0.054,0.027,-0.027,-18.1,-19.4,-35.9,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,5,2017-05-30 21:24:04:297
-0.29,-0.028,9.725,-0.354,-0.027,9.807,0.054,0.027,-0.027,-18.1,-19.4,-35.9,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,15,2017-05-30 21:24:04:307
-0.424,-0.047,9.548,-0.354,-0.027,9.807,0.068,0.0,-0.082,-18.0,-19.0,-36.1,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,25,2017-05-30 21:24:04:317
-0.424,-0.047,9.548,-0.354,-0.027,9.807,0.068,0.0,-0.082,-18.0,-19.0,-36.1,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,35,2017-05-30 21:24:04:327
-0.29,0.011,9.632,-0.354,-0.027,9.807,-0.068,-0.014,-0.259,-17.6,-18.8,-36.2,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,45,2017-05-30 21:24:04:337
-0.29,0.011,9.632,-0.354,-0.027,9.807,-0.068,-0.014,-0.259,-17.6,-18.8,-36.2,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,54,2017-05-30 21:24:04:346
-0.424,0.068,9.809,-0.354,-0.027,9.807,-0.027,0.0,-0.15,-17.2,-18.6,-37.0,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,64,2017-05-30 21:24:04:356
-0.424,0.068,9.809,-0.354,-0.027,9.807,-0.027,0.0,-0.15,-17.2,-18.6,-37.0,134.7,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,74,2017-05-30 21:24:04:366
-0.309,-0.018,9.669,-0.354,-0.027,9.807,-0.068,0.082,0.0,-17.4,-18.4,-37.3,134.6,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,84,2017-05-30 21:24:04:376
-0.309,-0.018,9.669,-0.354,-0.027,9.807,-0.068,0.082,0.0,-17.4,-18.4,-37.3,134.6,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,94,2017-05-30 21:24:04:386
-0.386,-0.018,9.501,-0.354,-0.027,9.807,-0.068,-0.054,-0.354,-17.6,-18.5,-38.6,134.6,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,105,2017-05-30 21:24:04:397
-0.386,-0.018,9.501,-0.354,-0.027,9.807,-0.068,-0.054,-0.354,-17.6,-18.5,-38.6,134.6,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,115,2017-05-30 21:24:04:407
-0.386,-0.018,9.501,-0.354,-0.027,9.807,-0.068,-0.054,-0.354,-17.6,-18.5,-38.6,134.6,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,125,2017-05-30 21:24:04:417
-0.415,-0.028,9.781,-0.354,-0.027,9.807,0.054,0.027,-0.3,-18.0,-18.4,-39.4,133.0,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,135,2017-05-30 21:24:04:427
-0.415,-0.028,9.781,-0.354,-0.027,9.807,0.054,0.027,-0.3,-18.0,-18.4,-39.4,133.0,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,145,2017-05-30 21:24:04:437
-0.52,-0.095,9.707,-0.354,-0.027,9.807,0.163,0.068,-0.191,-18.0,-18.4,-39.4,133.0,0.2,2.1,55.79,39.35338,16.21971,264.0,225.6842499,0.0,4.0,,10 / 20,154,2017-05-30 21:24:04:446
